Municipality;Percentage of Smart Meters;Consumption per Contract
Mora;0.14074595355383532723;462.20328
Mortágua;0.11137629276054097056;620.99414
Moura;0.04998500449865040488;490.08594
Mourão;0.15706806282722513089;409.18215
Murtosa;0.04793289394847213901;329.50401
Murça;0.16162549064881089818;202.94653
Mértola;0.09040423608420508847;166.50778
Mêda;0.22779043280182232346;165.28902
Nazaré;0.01989917750066330592;354.64654
Nelas;0.0791586565645143051;1684.49814
Nisa;0.11616329239960172585;214.16437
Odemira;0.08692163680128376571;510.64618
Odivelas;0.00493339911198815984;276.02781
Oeiras;0.00514747516343233644;505.8279
Oleiros;0.23089355806972985454;452.75249
Olhão;0.01460813673215981302;373.61703
Oliveira de Azeméis;0.03877061892006203299;1021.05118
Oliveira de Frades;0.12539184952978056426;670.37523
Oliveira do Bairro;0.0300661455201443175;906.36733
Oliveira do Hospital;0.13227513227513227513;660.18606
Ourique;0.11055831951354339414;490.31539
Ourém;0.04297662732652319085;460.27883
Ovar;0.01594336915276936322;816.30424
Palmela;0.01081665765278528935;964.38318
Pampilhosa da Serra;0.15449980687524140595;156.0837
Paredes;0.05634155502691874296;572.86135
Paredes de Coura;0.31727146539758080508;389.10231
Paços de Ferreira;0.04700720777185835161;652.23389
Pedrógão Grande;0.08668015024559375903;292.70674
Penacova;0.11193507765496012313;335.42477
Penafiel;0.08636377656457234508;460.51449
Penalva do Castelo;0.19157088122605363985;210.29865
Penamacor;0.14713094654242275625;162.73145
Penedono;0.28830313014827018122;185.24821
Penela;0.10196278358399184298;367.41781
Peniche;0.01892058086183245826;371.35269
Peso da Régua;0.08232146532208273307;285.40167
Pinhel;0.25405786873676781934;217.80642
Pombal;0.03908011423418006914;623.72667
Ponte da Barca;0.22609389546482244979;251.70351
Ponte de Lima;0.15405885838435710053;341.68569
Ponte de Sor;0.05130836326321190354;453.11377
Portalegre;0.04663868345659271104;643.49831
Portel;0.15873015873015873016;3093.75827
Portimão;0.00549410299611750055;397.73437
Porto;0.00405971257234987763;555.00569
Porto de Mós;0.0709672840820381804;783.96116
Proença-a-Nova;0.06085501293169024798;238.67878
Póvoa de Lanhoso;0.17337851682559697376;342.65259
Póvoa de Varzim;0.0161338649825984742;365.71199
Redondo;0.04608294930875576037;446.23343
Reguengos de Monsaraz;0.05808887598024978217;428.76645
Resende;0.19400352733686067019;253.06262
Ribeira de Pena;0.10315659170621002682;515.82487
Rio Maior;0.0857559385987479633;1147.5436
Sabrosa;0.26554547466253595928;262.22814
Sabugal;0.25037556334501752629;180.36653
Salvaterra de Magos;0.03188521323236349143;473.74107
Santa Comba Dão;0.07971303308090872858;285.77216
Santa Maria da Feira;0.03226847370119393353;714.90502
Santa Marta de Penaguião;0.16556291390728476821;182.85312
Santarém;0.05398110661268556005;770.5055
Santiago do Cacém;0.04162764075346029764;477.99867
Santo Tirso;0.04387728984606384146;1255.90462
Sardoal;0.14352350197344815213;241.05725
Seia;0.13225847084015619096;286.17081
Seixal;0.0047284118446716709;1154.51754
Sernancelhe;0.35528833014484831921;328.78242
Serpa;0.04833720030935808198;1082.53374
Sertã;0.0840477391158177845;339.09281
Sesimbra;0.00827791727601335504;319.76872
Setúbal;0.00670933805670732526;1059.12445
Sever do Vouga;0.0959035484312919578;352.51276
Silves;0.01842582071676442588;476.79787
Sines;0.02091612633340305375;7486.52631
Sintra;0.00548817298721255694;373.77623
Sobral de Monte Agraço;0.05241090146750524109;369.06016
Soure;0.08944543828264758497;505.17626
Sousel;0.11648223645894001165;519.32351
Sátão;0.10816007691383247206;240.77933
São Brás de Alportel;0.01415628539071347678;382.78867
São João da Madeira;0.00761440645701667555;653.80977
São João da Pesqueira;0.22596548890714872638;262.31357
São Pedro do Sul;0.12040939193257074052;294.92506
Tabuaço;0.30295968305756233978;213.91392
Tarouca;0.10807472595337347537;237.63439
Tavira;0.02325220895985118586;378.19389
Terras de Bouro;0.27333073018352206169;262.11193
Tomar;0.04723462727585022329;407.52728
Tondela;0.13292290471526514622;583.74966
Torre de Moncorvo;0.18710420264824409902;238.57509
Torres Novas;0.05111429155591903496;1066.77691
Torres Vedras;0.02782176946453794461;526.33036
