Municipality;Percentage of Smart Meters;Consumption per Contract
Mora;80.2598136119740186388;370.96349
Mortágua;96.13031508106454573264;596.96363
Moura;98.40629611411706837186;482.27542
Mourão;99.27234927234927234927;406.20473
Murtosa;98.75739644970414201183;325.40958
Murça;99.1529304029304029304;201.22743
Mértola;98.93943266036289292103;164.74185
Mêda;98.11052417716375457131;162.16593
Nazaré;99.80801059251903343264;353.96565
Nelas;94.92271361099184199227;1598.97134
Nisa;88.89216698628116241334;190.37535
Odemira;76.09259730348511829051;388.56394
Odivelas;99.47001668465992737266;274.5649
Oeiras;95.79955421425330887429;484.58087
Oleiros;79.77528089887640449438;361.18457
Olhão;90.9217691592508965334;339.69922
Oliveira de Azeméis;87.56790123456790123457;894.11309
Oliveira de Frades;97.37484737484737484737;652.77686
Oliveira do Bairro;99.47659638103783460446;901.62337
Oliveira do Hospital;83.43795267986479961371;550.84573
Ourique;90.54054054054054054054;443.9342
Ourém;95.69440050616893388168;440.46107
Ovar;98.91811758768609639162;807.47278
Palmela;96.04945326095426092829;926.28478
Pampilhosa da Serra;99.347659247889485802;155.0655
Paredes;98.57755561726680860255;564.71271
Paredes de Coura;78.74765771392879450344;306.40896
Paços de Ferreira;99.71096008124365283962;650.34868
Pedrógão Grande;92.54010695187165775401;270.87113
Penacova;83.25955265610438024231;279.27316
Penafiel;93.03813814675581829139;428.45411
Penalva do Castelo;98.96587383660806618407;208.12389
Penamacor;98.15468549422336328626;159.72854
Penedono;88.97031879809454012459;164.81592
Penela;99.29131865350544166034;364.81399
Peniche;90.81965804622390239711;337.26124
Peso da Régua;96.19877252029301128489;274.5529
Pinhel;86.97520255340044193469;189.43758
Pombal;91.03971099373272393881;567.83896
Ponte da Barca;82.35487404162102957284;207.29011
Ponte de Lima;99.37193326790971540726;339.53968
Ponte de Sor;91.20262049602246139448;413.25163
Portalegre;98.62014587029371180761;634.61897
Portel;92.39794671229528232706;2858.56911
Portimão;96.48543106037849203965;383.75572
Porto;99.54047407373197399868;552.45529
Porto de Mós;99.54786294595549275874;780.41658
Proença-a-Nova;90.44997935874501169671;215.88491
Póvoa de Lanhoso;94.04832493329380373555;322.25902
Póvoa de Varzim;97.02573965158664490015;354.83476
Redondo;98.50204266908760780754;439.54905
Reguengos de Monsaraz;97.30111629221421506288;417.19455
Resende;74.60526315789473684211;188.79804
Ribeira de Pena;98.85784213746685702631;509.93333
Rio Maior;89.81053604436229205176;1030.61506
Sabrosa;93.77464204191741025109;245.9035
Sabugal;82.4184894758563763929;148.65537
Salvaterra de Magos;99.56349206349206349206;471.67315
Santa Comba Dão;97.38646655453486867641;278.3034
Santa Maria da Feira;91.91819324585810934874;657.12778
Santa Marta de Penaguião;94.33288710397144132084;172.49062
Santarém;90.00485856186568775642;693.49238
Santiago do Cacém;95.68334578043315907394;457.36512
Santo Tirso;91.90469789636400295719;1154.23535
Sardoal;94.15540540540540540541;226.96843
Seia;89.22731104242764821579;255.34252
Seixal;91.59168913285910719893;1057.44212
Sernancelhe;79.06222990492653414002;259.94271
Serpa;99.13743530764807360552;1073.19618
Sertã;88.75792614696008951884;300.97174
Sesimbra;99.6644941286472513269;318.69588
Setúbal;99.71366257676920400872;1056.09178
Sever do Vouga;96.72674264510999204877;340.97411
Silves;90.25471881149699271044;430.33257
Sines;98.65868757738340899711;7386.1086
Sintra;93.80575290406522329243;350.62361
Sobral de Monte Agraço;97.92985457656116338751;361.42008
Soure;96.7128027681660899654;488.57012
Sousel;99.30595720069404279931;515.71918
Sátão;89.64662788192199956906;215.85055
São Brás de Alportel;91.74025974025974025974;351.17132
São João da Madeira;99.82517482517482517483;652.66674
São João da Pesqueira;86.25088589652728561304;226.24778
São Pedro do Sul;96.85938020659780073309;285.66258
Tabuaço;99.28273947246645071726;212.3796
Tarouca;99.35572940635066728026;236.10338
Tavira;88.53358951485624099362;334.82863
Terras de Bouro;99.41770186335403726708;260.58566
Tomar;86.40546156129415256753;352.12583
Tondela;75.77396098388464800679;442.33024
Torre de Moncorvo;98.77736707421097526301;235.6582
Torres Novas;90.35654904858673563643;963.9028
Torres Vedras;91.52628692313719344982;481.73063
Trancoso;94.55188977373277714575;216.69071
Trofa;99.60232158211521926053;788.28703
Tábua;66.89152431726689152432;257.44648
Vagos;97.33723958333333333333;487.06826
Vale de Cambra;95.31950459691512802978;588.27767
Valença;70.61975533313112930947;450.49781
Valongo;98.89602865269145686295;413.7348
Valpaços;98.25130967313509924002;187.30926
Vendas Novas;98.46109175377468060395;529.80396
Viana do Alentejo;99.2965367965367965368;393.69004
Viana do Castelo;95.59009869184230721182;912.29658
Vidigueira;99.08069458631256384065;1429.61031
Vieira do Minho;89.55365622032288698955;342.44594
Vila de Rei;97.46022031823745410037;220.63692
Vila do Bispo;79.01031544326506204216;420.05383
Vila do Conde;92.64683839746472238282;653.88727
Vila Flor;98.57913669064748201439;206.08507
Vila Franca de Xira;96.45594488748723649007;895.68737
Vila Nova da Barquinha;99.32369402985074626866;337.21018
Vila Nova de Cerveira;96.71042704089331522559;686.6026
Vila Nova de Famalicão;99.51364154115966660037;1233.95034
Vila Nova de Foz Côa;92.05116491548652352672;206.87948
Vila Nova de Gaia;94.57907609033010962271;549.38774
Vila Nova de Paiva;99.25780397293167430692;188.69253
Vila Nova de Poiares;72.40812974748511599261;348.42994
Vila Pouca de Aguiar;86.32016230315911506135;296.49437
Vila Real;97.3356391241902863675;368.60232
Vila Real de Santo António;84.47082511850329292336;280.61717
Vila Velha de Ródão;98.90395154312085376406;2644.32681
Vila Verde;83.18686660932650237463;359.65142
Vila Viçosa;99.27745664739884393064;555.20832
Vimioso;92.49329758713136729223;144.98921
Vinhais;97.00374531835205992509;151.05258
Viseu;92.19281111094021563591;404.51053
Vizela;99.89150090415913200723;544.87399
Vouzela;95.56677890011223344557;296.0766
Águeda;99.01295239681812502603;928.32752
Évora;99.35153583617747440273;696.376
Ílhavo;99.57750408545577743234;666.38675
Óbidos;99.52157781683264987307;507.91197
